run_no	trial_no	stim_file	category	subcategory	response	correctness
1	1	0013_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
1	2	0034_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	3	0023_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
1	4	0015_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
1	5	0050_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	6	0026_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	7	0043_SORT_IST.java	Sort	InsertionSort	Sort	correct
1	8	0019_SEARCH_BSC.java	Search	BinarySearch	Search	correct
1	9	0014_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
1	10	0052_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	11	0049_SORT_SST.java	Sort	SelectionSort	Sort	correct
1	12	0070_STRING_RLE.java	String	RunLength	String	correct
1	13	0029_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	14	0004_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	15	0071_STRING_RLE.java	String	RunLength	String	correct
1	16	0024_SEARCH_BSC.java	Search	BinarySearch	Search	correct
1	17	0038_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	18	0028_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	19	0035_SEARCH_LSC.java	Search	LinerSearch	Search	correct
1	20	0058_STRING_SSC.java	String	FindingAWord	String	correct
1	21	0006_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	22	0002_MATH_PNM.java	Math	PrimeNumber	Math	correct
1	23	0062_STRING_STS.java	String	FindingMinimumString	String	correct
1	24	0010_MATH_PWR.java	Math	Power	Math	correct
1	25	0067_STRING_RLE.java	String	RunLength	String	correct
1	26	0064_STRING_STS.java	String	FindingMinimumString	String	correct
1	27	0008_MATH_PWR.java	Math	Power	Math	correct
1	28	0046_SORT_IST.java	Sort	InsertionSort	Search	incorrect
1	29	0039_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	30	0055_STRING_SSC.java	String	FindingAWord	String	correct
1	31	0037_SORT_BST.java	Sort	BubbleSort	Sort	correct
1	32	0059_STRING_SSC.java	String	FindingAWord	String	correct
1	33	0012_MATH_PWR.java	Math	Power	Math	correct
1	34	0065_STRING_STS.java	String	FindingMinimumString	String	correct
1	35	0045_SORT_IST.java	Sort	InsertionSort	String	incorrect
1	36	0025_SEARCH_LSC.java	Search	LinerSearch	Sort	incorrect
2	1	0057_STRING_SSC.java	String	FindingAWord	String	correct
2	2	0020_SEARCH_BSC.java	Search	BinarySearch	Search	correct
2	3	0042_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	4	0048_SORT_IST.java	Sort	InsertionSort	Sort	correct
2	5	0033_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	6	0056_STRING_SSC.java	String	FindingAWord	String	correct
2	7	0051_SORT_SST.java	Sort	SelectionSort	Sort	correct
2	8	0001_MATH_PNM.java	Math	PrimeNumber	Math	correct
2	9	0021_SEARCH_BSC.java	Search	BinarySearch	Search	correct
2	10	0068_STRING_RLE.java	String	RunLength	String	correct
2	11	0066_STRING_STS.java	String	FindingMinimumString	String	correct
2	12	0063_STRING_STS.java	String	FindingMinimumString	String	correct
2	13	0007_MATH_PWR.java	Math	Power	Math	correct
2	14	0011_MATH_PWR.java	Math	Power	Math	correct
2	15	0047_SORT_IST.java	Sort	InsertionSort	Sort	correct
2	16	0060_STRING_SSC.java	String	FindingAWord	String	correct
2	17	0069_STRING_RLE.java	String	RunLength	String	correct
2	18	0003_MATH_PNM.java	Math	PrimeNumber	Math	correct
2	19	0072_STRING_RLE.java	String	RunLength	String	correct
2	20	0044_SORT_IST.java	Sort	InsertionSort	Sort	correct
2	21	0005_MATH_PNM.java	Math	PrimeNumber	Math	correct
2	22	0031_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	23	0041_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	24	0061_STRING_STS.java	String	FindingMinimumString	String	correct
2	25	0036_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	26	0022_SEARCH_BSC.java	Search	BinarySearch	Search	correct
2	27	0018_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
2	28	0032_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	29	0016_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
2	30	0040_SORT_BST.java	Sort	BubbleSort	Sort	correct
2	31	0054_SORT_SST.java	Sort	SelectionSort	Sort	correct
2	32	0053_SORT_SST.java	Sort	SelectionSort	Sort	correct
2	33	0017_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
2	34	0027_SEARCH_LSC.java	Search	LinerSearch	Search	correct
2	35	0009_MATH_PWR.java	Math	Power	Math	correct
2	36	0030_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	1	0019_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
3	2	0028_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	3	0018_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
3	4	0039_SORT_BST.java	Sort	BubbleSort	Sort	correct
3	5	0068_STRING_RLE.java	String	RunLength	String	correct
3	6	0003_MATH_PNM.java	Math	PrimeNumber	Math	correct
3	7	0005_MATH_PNM.java	Math	PrimeNumber	Math	correct
3	8	0051_SORT_SST.java	Sort	SelectionSort	Sort	correct
3	9	0016_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
3	10	0057_STRING_SSC.java	String	FindingAWord	String	correct
3	11	0049_SORT_SST.java	Sort	SelectionSort	Sort	correct
3	12	0021_SEARCH_BSC.java	Search	BinarySearch	Search	correct
3	13	0009_MATH_PWR.java	Math	Power	Math	correct
3	14	0055_STRING_SSC.java	String	FindingAWord	String	correct
3	15	0054_SORT_SST.java	Sort	SelectionSort	Sort	correct
3	16	0044_SORT_IST.java	Sort	InsertionSort	Sort	correct
3	17	0034_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	18	0067_STRING_RLE.java	String	RunLength	String	correct
3	19	0038_SORT_BST.java	Sort	BubbleSort	String	incorrect
3	20	0069_STRING_RLE.java	String	RunLength	String	correct
3	21	0026_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	22	0020_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
3	23	0064_STRING_STS.java	String	FindingMinimumString	Sort	incorrect
3	24	0040_SORT_BST.java	Sort	BubbleSort	Sort	correct
3	25	0031_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	26	0046_SORT_IST.java	Sort	InsertionSort	Sort	correct
3	27	0017_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
3	28	0033_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	29	0008_MATH_PWR.java	Math	Power	Math	correct
3	30	0006_MATH_PNM.java	Math	PrimeNumber	Math	correct
3	31	0030_SEARCH_LSC.java	Search	LinerSearch	Search	correct
3	32	0012_MATH_PWR.java	Math	Power	Math	correct
3	33	0063_STRING_STS.java	String	FindingMinimumString	String	correct
3	34	0061_STRING_STS.java	String	FindingMinimumString	String	correct
3	35	0048_SORT_IST.java	Sort	InsertionSort	Sort	correct
3	36	0059_STRING_SSC.java	String	FindingAWord	String	correct
4	1	0060_STRING_SSC.java	String	FindingAWord	String	correct
4	2	0010_MATH_PWR.java	Math	Power	Math	correct
4	3	0042_SORT_BST.java	Sort	BubbleSort	Sort	correct
4	4	0070_STRING_RLE.java	String	RunLength	String	correct
4	5	0041_SORT_BST.java	Sort	BubbleSort	Sort	correct
4	6	0036_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	7	0007_MATH_PWR.java	Math	Power	Math	correct
4	8	0045_SORT_IST.java	Sort	InsertionSort	Sort	correct
4	9	0065_STRING_STS.java	String	FindingMinimumString	String	correct
4	10	0023_SEARCH_BSC.java	Search	BinarySearch	Search	correct
4	11	0047_SORT_IST.java	Sort	InsertionSort	Sort	correct
4	12	0027_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	13	0032_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	14	0071_STRING_RLE.java	String	RunLength	String	correct
4	15	0011_MATH_PWR.java	Math	Power	Math	correct
4	16	0013_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
4	17	0001_MATH_PNM.java	Math	PrimeNumber	Math	correct
4	18	0056_STRING_SSC.java	String	FindingAWord	String	correct
4	19	0066_STRING_STS.java	String	FindingMinimumString	String	correct
4	20	0053_SORT_SST.java	Sort	SelectionSort	Sort	correct
4	21	0072_STRING_RLE.java	String	RunLength	String	correct
4	22	0029_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	23	0022_SEARCH_BSC.java	Search	BinarySearch	Search	correct
4	24	0043_SORT_IST.java	Sort	InsertionSort	Sort	correct
4	25	0002_MATH_PNM.java	Math	PrimeNumber	Math	correct
4	26	0050_SORT_SST.java	Sort	SelectionSort	Sort	correct
4	27	0052_SORT_SST.java	Sort	SelectionSort	Sort	correct
4	28	0037_SORT_BST.java	Sort	BubbleSort	Sort	correct
4	29	0025_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	30	0004_MATH_PNM.java	Math	PrimeNumber	Math	correct
4	31	0014_MATH_GCD.java	Math	GreatestCommonDivider	Sort	incorrect
4	32	0035_SEARCH_LSC.java	Search	LinerSearch	Search	correct
4	33	0062_STRING_STS.java	String	FindingMinimumString	String	correct
4	34	0058_STRING_SSC.java	String	FindingAWord	String	correct
4	35	0015_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
4	36	0024_SEARCH_BSC.java	Search	BinarySearch	Search	correct
5	1	0043_SORT_IST.java	Sort	InsertionSort	Sort	correct
5	2	0033_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	3	0038_SORT_BST.java	Sort	BubbleSort	String	incorrect
5	4	0063_STRING_STS.java	String	FindingMinimumString	Math	incorrect
5	5	0024_SEARCH_BSC.java	Search	BinarySearch	Search	correct
5	6	0072_STRING_RLE.java	String	RunLength	String	correct
5	7	0013_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
5	8	0052_SORT_SST.java	Sort	SelectionSort	Sort	correct
5	9	0056_STRING_SSC.java	String	FindingAWord	String	correct
5	10	0064_STRING_STS.java	String	FindingMinimumString	String	correct
5	11	0016_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
5	12	0019_SEARCH_BSC.java	Search	BinarySearch	Search	correct
5	13	0068_STRING_RLE.java	String	RunLength	String	correct
5	14	0048_SORT_IST.java	Sort	InsertionSort	Sort	correct
5	15	0029_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	16	0015_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
5	17	0035_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	18	0055_STRING_SSC.java	String	FindingAWord	String	correct
5	19	0010_MATH_PWR.java	Math	Power	Math	correct
5	20	0002_MATH_PNM.java	Math	PrimeNumber	Math	correct
5	21	0051_SORT_SST.java	Sort	SelectionSort	Sort	correct
5	22	0006_MATH_PNM.java	Math	PrimeNumber	Math	correct
5	23	0042_SORT_BST.java	Sort	BubbleSort	Sort	correct
5	24	0030_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	25	0012_MATH_PWR.java	Math	Power	Math	correct
5	26	0070_STRING_RLE.java	String	RunLength	String	correct
5	27	0003_MATH_PNM.java	Math	PrimeNumber	Math	correct
5	28	0025_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	29	0034_SEARCH_LSC.java	Search	LinerSearch	Search	correct
5	30	0023_SEARCH_BSC.java	Search	BinarySearch	Search	correct
5	31	0008_MATH_PWR.java	Math	Power	Math	correct
5	32	0044_SORT_IST.java	Sort	InsertionSort	Sort	correct
5	33	0062_STRING_STS.java	String	FindingMinimumString	Search	incorrect
5	34	0050_SORT_SST.java	Sort	SelectionSort	Sort	correct
5	35	0058_STRING_SSC.java	String	FindingAWord	String	correct
5	36	0040_SORT_BST.java	Sort	BubbleSort	Sort	correct
6	1	0046_SORT_IST.java	Sort	InsertionSort	Sort	correct
6	2	0001_MATH_PNM.java	Math	PrimeNumber	Math	correct
6	3	0053_SORT_SST.java	Sort	SelectionSort	Sort	correct
6	4	0011_MATH_PWR.java	Math	Power	Math	correct
6	5	0037_SORT_BST.java	Sort	BubbleSort	Sort	correct
6	6	0020_SEARCH_BSC.java	Search	BinarySearch	String	incorrect
6	7	0060_STRING_SSC.java	String	FindingAWord	String	correct
6	8	0067_STRING_RLE.java	String	RunLength	String	correct
6	9	0018_MATH_GCD.java	Math	GreatestCommonDivider	Math	correct
6	10	0005_MATH_PNM.java	Math	PrimeNumber	Math	correct
6	11	0004_MATH_PNM.java	Math	PrimeNumber	Math	correct
6	12	0069_STRING_RLE.java	String	RunLength	String	correct
